ip,reason
102.132.42.170,No_Data_From_DB
102.132.42.254,No_Data_From_DB
102.132.43.108,No_Data_From_DB
102.132.43.15,No_Data_From_DB
102.132.43.183,No_Data_From_DB
102.132.43.209,No_Data_From_DB
102.132.43.64,No_Data_From_DB
102.132.44.148,No_Data_From_DB
102.132.44.200,No_Data_From_DB
102.132.44.84,No_Data_From_DB
102.132.44.92,No_Data_From_DB
102.132.46.101,No_Data_From_DB
102.132.46.107,No_Data_From_DB
102.132.46.175,No_Data_From_DB
102.132.46.209,No_Data_From_DB
102.132.46.222,No_Data_From_DB
102.132.46.223,No_Data_From_DB
102.132.46.75,No_Data_From_DB
102.132.47.104,No_Data_From_DB
102.132.47.172,No_Data_From_DB
102.132.47.251,No_Data_From_DB
102.132.47.34,No_Data_From_DB
102.132.48.14,No_Data_From_DB
102.132.49.19,No_Data_From_DB
102.132.50.38,No_Data_From_DB
102.132.50.5,No_Data_From_DB
102.132.50.50,No_Data_From_DB
102.132.51.172,No_Data_From_DB
102.132.51.211,No_Data_From_DB
102.132.51.51,No_Data_From_DB
102.132.52.194,No_Data_From_DB
